Q1A	Q1I	Q1E	Q2A	Q2I	Q2E	Q3A	Q3I	Q3E	Q4A	Q4I	Q4E	Q5A	Q5I	Q5E	Q6A	Q6I	Q6E	Q7A	Q7I	Q7E	Q8A	Q8I	Q8E	Q9A	Q9I	Q9E	Q10A	Q10I	Q10E	Q11A	Q11I	Q11E	Q12A	Q12I	Q12E	Q13A	Q13I	Q13E	Q14A	Q14I	Q14E	Q15A	Q15I	Q15E	Q16A	Q16I	Q16E	Q17A	Q17I	Q17E	Q18A	Q18I	Q18E	Q19A	Q19I	Q19E	country	introelapse	testelapse	surveyelapse	TIPI1	TIPI2	TIPI3	TIPI4	TIPI5	TIPI6	TIPI7	TIPI8	TIPI9	TIPI10	VCL1	VCL2	VCL3	VCL4	VCL5	VCL6	VCL7	VCL8	VCL9	VCL10	VCL11	VCL12	VCL13	VCL14	VCL15	VCL16	education	urban	gender	engnat	age	screenw	screenh	hand	religion	orientation	race	voted	married	familysize	major
2	1	37931	1	3	4915	5	5	4265	4	12	6559	5	8	3823	1	18	3958	2	11	15298	4	13	5984	5	2	10055	1	6	7689	1	16	4323	4	14	5504	5	15	4243	5	9	5291	4	17	4344	4	10	5714	1	4	4883	5	19	2251	5	7	8354	GB	304	146	130	1	6	7	6	7	6	4	5	1	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	4	2	2	1	29	375	667	1	2	2	16	2	1	2	Politics 
4	11	5626	2	17	8002	5	13	4954	4	2	8046	1	19	3616	2	10	5395	1	1	2854	5	3	4669	5	9	6093	4	14	4091	2	7	3594	1	4	4777	2	6	5797	4	5	4237	5	12	3373	2	15	9920	2	18	4547	1	8	4511	2	16	4568	US	3	116	152	2	2	6	3	6	5	6	4	5	3	1	1	0	1	1	0	0	0	0	1	0	0	1	0	1	1	3	1	1	1	23	1366	768	1	6	1	13	1	1	1	psychology
2	19	5888	1	14	10035	1	12	14546	2	17	50741	5	6	887	1	3	3757	1	4	1747	5	1	6019	5	11	1915	1	18	8990	4	10	2907	1	8	6596	5	9	5539	4	2	12970	5	16	4701	4	13	20116	2	7	7882	4	15	6677	1	5	7871	DE	491	229	240	3	6	6	6	5	3	5	5	2	1	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	2	2	1	2	29	412	732	1	2	1	16	1	1	3	
4	2	4502	4	13	1940	4	5	3408	2	1	6922	5	14	3950	4	8	2511	4	19	2768	4	11	2436	3	7	3036	4	4	2812	4	12	2067	5	9	3792	2	16	3042	4	17	2743	2	18	3152	5	15	2523	4	10	3737	2	3	2874	4	6	2730	GB	2	63	122	3	5	3	4	3	1	3	6	1	7	1	1	1	1	1	0	0	1	0	1	0	0	1	1	1	1	3	1	1	1	27	375	667	1	7	1	16	1	1	1	Theology 
3	2	9638	1	9	4503	5	3	5649	4	16	11345	3	8	11025	1	7	3671	5	1	12966	1	10	6519	5	18	3600	4	17	6591	1	15	3983	4	6	8345	2	12	5240	3	5	5553	5	11	4393	4	13	8079	1	19	4968	4	14	4017	1	4	12286	DE	43	133	77	2	6	6	5	6	6	5	2	3	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	4	3	2	2	27	1280	800	1	12	5	16	2	1	3	
3	19	4922	3	16	3963	3	12	827	4	5	4953	2	10	4209	2	6	5099	4	14	4129	4	18	4810	4	1	5528	4	17	3868	3	3	5844	5	8	2831	1	2	6098	5	15	3006	3	9	5024	5	7	3124	3	11	5789	2	4	13050	4	13	2811	US	46	108	171	4	1	5	1	5	6	7	2	6	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	3	2	2	1	26	375	667	1	6	1	16	2	1	1	English
1	2	5657	1	8	8452	1	11	2796	1	4	5974	1	14	4507	1	17	2269	1	6	4868	4	5	5106	5	3	2402	1	7	3933	1	12	3444	1	16	5368	5	13	2514	4	9	5190	5	1	4610	1	18	7779	1	15	4020	1	10	2475	1	19	2964	US	9	85	93	5	2	6	2	6	2	7	5	6	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	1	2	2	1	1	29	412	732	1	2	2	16	2	2	1	
4	10	2826	1	18	3474	2	4	5598	4	3	6541	5	5	3486	4	8	4681	3	7	7896	4	6	5266	4	19	6357	4	9	10506	5	1	10878	2	17	3762	1	11	3117	4	16	3234	4	15	3220	2	2	10946	5	14	4080	1	13	953	4	12	3064	NO	2	105	102	3	7	5	2	7	5	3	5	2	1	1	1	1	1	1	0	0	0	0	1	1	0	1	1	1	1	2	1	1	1	18	1366	768	1	6	1	16	2	1	3	
5	7	7401	2	11	9321	5	8	5598	4	13	7838	3	14	14042	4	4	1330	3	17	8869	4	15	8039	4	18	7363	5	10	11158	5	1	3289	4	12	12443	2	2	10018	1	16	2856	4	5	5430	5	19	7672	5	9	10144	2	6	10213	3	3	10532	HR	348	209	150	2	5	6	5	5	7	6	2	6	4	1	0	0	1	1	0	0	0	0	1	0	0	0	1	1	1	2	1	1	2	18	1920	1080	1	2	1	16	2	1	4	
5	1	6165	5	12	5478	3	3	9913	5	5	11127	1	11	2234	5	2	8813	5	4	8294	5	8	7831	1	10	7478	5	15	4509	5	16	5397	4	19	10152	1	14	7788	4	7	6850	1	13	8196	5	18	6853	5	17	4703	5	9	6197	5	6	4290	US	4	133	269	6	1	7	1	7	4	4	1	6	4	1	1	1	1	1	0	0	1	0	1	0	0	1	1	1	1	3	2	2	1	26	1920	1080	1	12	5	17	1	1	3	computer science
5	19	4725	5	15	7556	2	12	4560	4	17	7936	3	14	5430	1	13	4921	4	11	6128	4	8	4804	5	10	3041	5	2	4209	3	6	4831	4	7	6992	4	18	3449	4	1	533840	5	5	3539	4	9	5558	5	3	4011	2	16	3334	1	4	4565	IN	4397	625	79	4	5	2	6	7	4	5	6	3	2	1	0	0	1	1	0	0	1	0	1	0	0	1	1	1	1	3	3	1	2	22	1440	900	1	8	1	11	1	1	2	Engineering
2	2	4370	1	5	2593	1	1	6928	4	16	4182	2	15	3106	1	8	2521	5	18	4778	2	4	4552	5	12	2815	3	3	8991	1	9	2055	1	7	2240	3	17	5831	2	10	3345	5	19	2160	1	6	3271	1	14	5845	3	13	2818	1	11	4631	FR	6368	83	64	1	1	3	7	6	7	4	5	2	1	1	1	0	1	1	0	0	1	0	1	0	0	1	1	1	1	2	2	1	2	16	1536	864	1	2	2	16	2	1	2	
5	8	4677	1	19	4654	5	3	5637	5	2	8942	4	7	3526	4	16	2292	4	14	6670	5	17	2697	4	1	7597	5	18	4335	4	11	3194	5	9	2896	2	10	10645	5	13	2720	4	5	7023	5	12	4560	5	15	13097	4	4	4198	4	6	9339	GB	6	109	94	2	5	5	7	5	6	3	5	2	5	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	2	3	1	1	22	1920	1080	1	4	2	16	2	1	2	
3	6	3653	1	7	4363	5	10	5042	5	16	6945	1	3	10800	2	1	6851	3	11	5840	4	5	9466	5	12	3092	4	18	4036	4	14	4495	4	4	5404	1	19	2808	2	8	3482	5	17	3202	4	9	11554	4	2	3564	4	13	2675	4	15	5688	NONE	8	104	163	5	2	7	2	7	6	6	3	6	2	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	2	3	1	1	29	320	568	0	2	1	16	2	1	3	
5	7	3539	2	17	4316	4	15	4863	5	1	6125	5	12	5237	3	16	6607	5	13	4844	5	14	5277	3	10	5365	5	4	6370	4	2	7474	5	6	5364	2	3	5882	5	5	3198	3	8	5300	4	18	6686	5	19	2487	5	9	2890	5	11	3289	FI	6086	96	146	7	6	6	2	6	3	5	6	6	2	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	2	3	1	2	18	1280	800	1	6	1	16	2	1	2	
4	13	7096	1	5	4704	5	18	4024	5	14	5833	4	3	5503	5	2	5320	2	16	9018	5	10	5399	3	4	4976	4	17	8943	4	15	11599	5	9	4761	1	8	4792	4	11	4164	4	7	5138	5	6	5864	5	12	5719	1	19	4049	5	1	6637	FR	5	123	87	3	6	7	1	6	6	3	5	7	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	2	3	1	2	19	1920	1080	1	4	1	16	2	1	1	Law
5	13	6687	5	16	6834	5	5	9377	5	6	8134	5	14	5960	5	1	8896	5	8	13130	5	7	6130	2	9	7044	5	2	9721	2	18	7795	5	11	10974	1	12	8901	1	4	2536	1	15	6822	5	10	8850	5	3	7178	2	19	11391	5	17	7830	NONE	4	166	221	6	6	5	5	6	1	5	2	6	2	1	1	0	1	1	0	0	1	0	1	0	0	0	1	1	1	2	2	1	2	18	1366	768	1	8	1	17	2	1	2	bca
4	10	4495	2	15	8656	5	12	4416	5	6	7612	4	9	5902	5	2	6727	5	4	5368	4	1	12768	3	17	4805	5	5	3322	5	18	6671	3	19	9078	1	11	3565	2	14	6520	4	16	3911	4	3	117632	5	13	9730	3	8	6137	5	7	13036	US	1952	241	107	1	2	6	2	7	6	6	5	6	1	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	3	1	1	16	360	640	1	6	5	16	2	1	2	
1	12	7749	1	6	5087	4	10	6231	5	2	9221	3	5	5576	1	17	2945	5	15	5581	3	13	15144	5	1	6252	5	3	3173	3	16	19664	4	18	4782	2	7	17829	1	14	3466	5	8	6740	4	19	6414	5	9	1250	4	4	4616	5	11	5317	US	6	146	93	6	5	6	6	6	3	7	3	5	1	1	1	1	1	1	0	0	0	0	1	1	0	1	1	1	1	3	2	2	1	19	1920	1080	1	7	2	16	1	1	2	Theatre Arts
3	12	9363	1	1	6727	1	9	8142	5	15	9078	5	10	5983	2	3	986	5	14	3756	3	2	13543	5	6	2392	5	16	5378	3	7	4960	1	8	4710	1	4	6437	5	11	4197	5	13	2297	5	19	8046	5	18	3814	4	5	5625	1	17	4687	US	3	119	102	2	5	5	7	5	7	5	6	5	2	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	3	2	1	1	25	360	640	1	2	1	16	1	1	2	Computer science
3	9	5895	1	16	2850	1	13	3660	5	10	6568	1	11	3369	1	17	2172	2	18	8305	3	6	4988	3	5	2884	2	4	3293	2	14	3346	5	3	4288	3	2	6679	1	12	3114	4	8	22770	5	15	2879	2	19	3066	4	1	4010	5	7	2700	CR	212	97	162	3	5	5	6	6	7	4	3	5	3	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	3	3	1	1	22	412	732	1	2	1	16	1	1	1	Environmental Science
5	10	5986	3	4	8034	5	2	7852	5	1	8063	5	11	5664	1	16	6497	5	6	6229	5	7	5223	4	9	4849	5	14	4463	4	13	7324	5	5	5795	5	3	7211	5	19	3767	4	17	8817	5	12	5650	5	8	4899	5	15	3700	2	18	8050	MT	11	119	184	1	7	6	6	7	7	3	5	6	3	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	3	2	2	2	29	375	667	1	7	0	16	1	2	2	No
3	19	8285	3	10	5677	3	12	4233	4	17	22507	4	3	7498	1	13	4127	1	14	12025	4	6	11160	5	15	6581	4	16	10937	2	7	15526	4	11	10381	2	1	7292	5	5	7389	4	2	14027	5	4	11108	3	8	11063	4	9	5659	4	18	5439	NO	2	181	136	3	5	3	6	7	5	5	5	5	1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	1	1	1	2	2	2	32	768	1024	1	1	1	16	2	1	2	
5	8	3235	2	4	4922	5	5	5373	5	12	9678	5	1	4624	3	14	5274	5	10	4205	3	15	3971	5	16	5843	5	18	3953	4	17	4673	5	6	3772	1	13	6442	5	7	2372	4	19	5056	5	9	6258	5	2	6607	5	3	3270	5	11	3037	CA	8	93	133	7	5	6	6	7	6	7	1	5	1	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	2	1	2	1	23	1920	1080	1	6	1	16	1	1	7	
4	12	2406	4	1	4035	3	8	4608	4	3	4984	2	16	4609	2	6	2797	3	19	4969	5	5	5296	4	9	3515	4	18	2561	4	4	2593	3	15	3516	2	2	5656	2	13	4876	3	11	4202	4	17	2844	3	14	3076	3	10	5375	4	7	3094	CA	9	76	82	2	5	5	5	2	6	5	3	5	6	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	3	2	2	1	40	1536	960	2	4	1	16	1	1	2	
2	17	628	2	19	8489	3	12	5551	2	11	16016	4	2	5672	2	15	5318	3	14	5909	4	10	9070	3	4	4044	2	9	520	1	6	6367	1	5	9050	3	13	663	4	8	9927	5	1	11181	1	16	9047	2	3	598	1	7	8417	2	18	8930	PL	30	155	97	2	4	2	4	7	4	5	6	3	1	1	1	0	1	1	0	0	1	0	1	1	0	0	1	1	1	2	3	2	2	20	360	640	1	1	1	16	2	1	1	
1	11	6320	1	2	5070	1	15	3295	2	18	9802	1	17	5301	2	9	8488	4	16	5305	4	12	2896	5	1	4929	1	14	7592	1	10	4631	1	4	5846	5	3	4642	4	8	3996	5	6	3041	4	7	6798	2	5	5688	1	13	3560	1	19	5584	NONE	2	108	112	7	5	6	3	7	1	6	5	6	1	1	1	1	1	1	0	0	1	0	1	1	0	0	1	1	1	2	1	1	2	20	1280	1024	1	2	1	16	1	1	2	
2	7	7304	1	4	4559	4	15	4552	3	8	6336	4	5	2643	4	13	12226	5	1	6905	5	2	10127	4	18	3842	4	3	13320	4	9	3023	4	17	3939	3	12	7456	3	19	2376	5	10	4592	4	14	5230	4	16	5632	3	11	6144	5	6	6782	PL	2	130	146	2	4	2	4	3	5	4	7	5	1	1	1	0	1	1	0	0	1	0	1	1	0	1	0	1	1	2	1	1	2	21	1280	1024	1	2	1	16	1	1	2	
5	4	3153	1	12	4806	5	3	9311	5	7	14750	4	15	7634	3	18	5609	5	17	5405	5	2	5989	5	19	3503	5	11	4385	3	5	5738	5	16	14292	5	14	3637	5	1	6347	5	6	5172	4	13	8427	5	10	4218	3	8	5823	5	9	3452	MX	2065	122	92	4	6	7	6	7	6	6	1	3	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	2	3	1	2	21	1280	800	1	1	1	17	1	1	4	Mathematics
1	4	4659	1	8	3538	4	14	15342	5	9	7304	1	2	8851	1	18	2982	5	17	4530	2	1	4859	5	12	4059	1	11	5425	1	15	3213	4	16	5232	4	19	4599	3	7	6180	4	5	4515	4	3	6238	4	13	6357	2	10	5348	4	6	4402	US	20	108	101	2	6	6	5	6	6	6	5	5	5	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	3	2	2	1	21	1366	768	1	1	4	16	1	1	2	History
4	10	4795	1	3	4148	1	7	3574	1	18	3759	5	4	2867	4	17	3045	1	15	5245	5	6	2397	4	2	3746	5	5	3695	2	8	3292	5	12	3036	5	19	5398	2	13	3102	3	1	5233	4	16	7560	4	11	505	1	14	4327	2	9	642	PL	16	84	69	5	7	4	6	5	5	3	4	3	2	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	2	3	1	2	20	360	640	1	1	1	16	2	1	2	Computer Science
3	19	11879	1	4	4592	1	16	7207	2	13	11134	1	14	6016	1	3	3504	3	17	15230	4	7	6063	5	11	3848	1	1	7909	1	8	10975	4	15	9191	1	9	2286	4	5	7176	5	10	4623	3	6	6993	1	2	7254	2	12	11047	2	18	11120	BR	243	149	127	2	6	5	5	5	5	5	3	3	3	1	1	1	1	1	0	0	1	0	1	0	0	1	1	1	1	3	3	2	2	25	1600	900	1	2	5	16	1	1	3	pedagogy
4	3	7484	4	6	7867	1	12	8097	3	2	35915	2	11	7830	4	1	15201	3	9	16425	4	14	9271	5	17	4515	3	16	6047	1	13	5794	2	10	9587	2	7	3841	1	8	13703	3	15	5070	4	4	13178	2	18	21987	4	5	5100	5	19	6891	PL	29	207	219	1	3	4	7	1	7	5	4	1	2	1	0	0	1	0	0	0	1	0	1	0	1	0	0	1	1	2	1	2	2	21	360	740	1	1	1	16	1	1	2	
1	17	6478	2	13	5659	4	14	12474	4	8	30918	2	11	8499	3	19	5472	1	4	11253	4	18	7222	4	10	5600	3	15	10689	4	16	7759	3	3	7490	4	2	15681	2	7	8917	4	5	7827	4	12	9859	2	9	13324	2	1	8352	3	6	12962	NONE	4	208	198	5	6	2	5	7	3	7	1	6	2	0	1	0	1	0	1	0	1	0	1	1	0	0	1	1	1	2	3	2	2	21	412	732	1	2	1	16	1	1	2	Cosmetology
1	18	5923	1	9	5527	5	5	6503	1	14	4818	1	11	5007	1	15	2948	3	4	2751	4	10	11281	5	17	3713	1	12	7997	1	1	9931	1	13	5774	4	16	6054	5	8	10272	5	2	35563	4	3	10593	2	19	6673	1	6	3903	4	7	7169	PL	13	191	266	6	7	4	3	5	1	5	6	6	4	1	0	0	1	1	0	0	1	0	1	1	0	0	0	1	1	2	3	2	2	19	375	667	1	2	5	16	1	1	1	History
3	17	5751	4	16	5989	5	8	6681	4	6	13214	4	15	7974	5	1	13811	4	14	19137	4	3	7476	3	5	5894	5	19	14532	4	4	5010	4	9	9530	2	10	12738	1	2	8201	3	13	6554	5	12	9559	5	11	6968	4	18	9520	3	7	9061	PL	3	178	177	5	2	5	6	5	4	6	5	3	3	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	3	1	2	14	393	786	1	1	1	16	2	1	3	
2	6	7617	1	18	14482	4	4	7407	2	3	8095	5	16	5192	3	7	10828	5	14	4854	4	2	8284	5	15	3318	4	9	5781	1	19	4836	2	17	6071	2	11	3251	1	5	6140	5	1	10455	4	12	41290	4	13	13532	1	8	5896	4	10	9557	PL	32	178	157	1	7	5	6	7	6	5	5	4	4	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	2	1	1	2	21	360	640	1	1	1	16	1	1	2	
5	4	5429	2	17	20456	4	16	9631	1	15	207825	1	13	5854	2	5	4659	4	18	19249	5	2	8830	4	11	5061	5	10	7162	2	3	103469	4	19	12266	1	1	5531	1	9	29499	4	8	6028	5	7	9864	4	12	23494	1	14	7329	1	6	11184	PL	8	504	179	7	5	5	1	7	3	7	2	7	3	1	0	0	1	1	0	0	1	0	1	1	0	0	1	1	1	2	3	2	2	20	360	720	1	4	1	16	1	1	1	Italian philology
4	10	8622	2	18	4424	4	19	8720	4	16	9503	1	9	5178	2	8	5248	5	15	9297	1	6	9184	4	17	1235	4	13	7240	2	3	7321	1	14	7936	4	2	10663	1	5	6384	5	1	7256	4	12	5375	2	11	8649	4	7	4816	3	4	22839	CA	4515	163	83	3	3	5	4	5	5	6	5	3	4	1	1	0	1	1	0	0	0	0	1	0	0	0	0	1	1	4	3	2	2	30	1280	1024	1	7	3	16	1	1	1	biology
5	17	2669	4	16	9880	5	5	6862	4	4	2912	5	9	2898	2	12	2816	4	8	7220	4	10	4936	2	13	3482	5	11	3698	4	7	4780	4	6	3680	1	3	2856	5	19	2651	2	2	4914	5	14	6603	5	1	5753	5	18	2413	4	15	2949	US	7	85	151	2	2	7	6	3	5	6	3	3	2	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	2	2	2	1	18	320	568	1	6	1	16	2	1	3	
3	2	4980	2	11	3834	5	3	3784	4	9	4320	4	1	14806	1	12	3380	3	17	5243	4	7	3690	4	8	2969	4	16	4315	2	15	3863	5	13	3739	3	14	2746	2	6	3506	4	18	3967	5	4	3513	4	10	1071	5	5	3257	4	19	4088	US	10	88	117	1	2	7	3	6	7	5	1	6	4	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	2	2	2	16	1504	1003	1	1	4	16	2	1	2	
4	6	4007	1	2	6301	4	16	3584	2	14	2993	4	11	3719	2	18	2743	3	3	6992	2	9	3432	5	10	2976	2	5	3552	4	12	2641	3	13	3719	3	17	4673	1	1	3734	4	19	2583	3	8	4640	2	7	3008	4	4	3136	4	15	2424	RS	1371	72	91	5	6	6	6	5	3	3	2	4	4	1	1	0	1	1	0	0	1	0	1	1	0	1	1	1	1	4	2	2	2	42	1536	864	1	7	1	16	1	2	2	literature
4	6	12103	2	11	1742	5	14	47151	5	10	4614	5	3	3615	4	19	3658	5	12	4438	5	9	49039	2	5	4553	4	17	11504	5	4	10666	4	16	27276	1	1	6915	5	18	3249	2	2	6061	5	7	29340	5	13	5474	5	8	2116	5	15	2786	US	25	248	31919	5	5	5	5	7	6	7	6	5	6	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	2	2	1	1	15	375	667	1	2	3	16	2	1	2	
4	2	9825	2	5	6176	5	9	4851	3	11	15917	4	12	4577	2	16	5555	5	3	4428	4	7	4975	3	14	13157	5	1	7476	2	4	15401	4	18	15008	2	17	5558	4	19	4555	2	15	5181	3	6	6895	4	13	59873	5	8	618	4	10	81157	US	6	283	239	2	6	5	5	5	6	3	1	2	2	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	1	2	1	1	15	375	812	1	1	1	11	2	1	1	
5	11	8558	1	18	9463	5	16	11104	5	15	31599	5	4	13302	5	5	13781	1	8	21425	5	10	13634	5	6	14086	5	12	9031	5	13	9126	5	9	8987	1	14	12253	4	1	3760	5	3	18931	5	2	16427	5	17	10869	5	7	10154	1	19	14882	NONE	46	252	198	6	7	3	1	7	2	7	5	6	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	3	1	2	2	38	1024	768	1	2	1	16	0	1	2	pedagogy
5	17	8015	1	5	31997	5	3	10877	5	15	11783	5	9	7364	2	1	30724	5	14	8935	5	19	6623	4	11	8961	4	2	17277	5	4	7616	5	10	22399	5	18	4309	5	8	5563	1	6	13958	5	7	11033	1	13	15375	1	16	10748	4	12	27781	IN	49	262	243	7	5	1	3	6	7	1	3	6	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	1	4	1	1	2	35	1366	768	1	8	1	11	1	2	2	Information Technology
1	4	14168	4	5	17349	4	13	12319	5	6	37617	5	9	45432	1	11	9486	5	12	23729	2	3	56973	5	8	6199	5	2	10408	1	18	6001	5	15	24915	2	17	11455	5	10	16514	1	16	15742	5	19	22343	4	1	17559	5	14	20455	2	7	24129	IN	37	394	380	7	1	7	1	1	6	7	1	7	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	4	1	1	2	26	1920	1080	1	8	2	11	1	2	3	Computer Engineering
5	10	2807	3	16	3829	5	1	8861	5	6	5032	5	2	5481	5	4	4330	5	5	8596	5	3	99212	3	11	6289	5	7	9972	5	13	3347	5	8	14259	1	15	8849	3	19	5116	3	14	3500	5	17	4256	5	12	5214	5	18	7683	5	9	11241	NONE	1564	219	128	5	3	7	4	7	2	7	1	6	1	1	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1	3	2	1	2	32	1280	720	1	8	1	11	1	2	3	Chemical Engineering
2	5	11480	4	19	11056	5	6	1109	5	10	10057	5	18	6591	1	9	6984	5	4	6152	5	7	7470	1	2	7382	4	17	10864	1	1	40282	4	13	8352	5	12	13328	1	16	7631	1	11	6431	4	14	13762	5	3	10976	5	8	10856	5	15	33559	PK	4	236	416	3	1	7	5	5	5	3	2	6	3	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	4	1	1	2	24	1366	768	1	10	1	11	1	2	5	Computer Science
5	8	5568	4	13	19286	5	16	6318	5	2	24314	5	15	5373	1	10	5825	5	1	12210	5	9	6011	1	3	18704	5	12	9134	4	11	10595	5	18	5632	4	4	28539	5	17	3240	1	5	6428	5	14	8145	5	7	6915	5	6	5892	5	19	8225	IN	26	197	238	7	1	7	1	7	1	7	1	7	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	4	3	1	2	37	1366	768	1	8	1	11	1	2	3	Information Technology
3	1	10987	3	6	11977	5	17	7480	5	11	11053	3	7	12675	1	5	13498	5	16	13339	3	13	13220	3	18	11306	5	3	9052	5	12	8820	5	8	7305	1	10	6383	3	14	11053	3	15	13216	5	4	14778	5	2	9885	4	19	11552	4	9	10891	NONE	48	209	234	2	1	7	3	4	5	6	1	7	5	1	1	0	1	1	0	1	0	0	1	0	0	1	1	1	1	4	1	1	2	53	1366	768	1	8	1	11	2	2	0	Engineering
3	5	5801	3	17	5564	4	6	7528	5	14	10462	5	18	5415	3	16	11045	4	9	5280	5	8	4437	3	11	8368	5	10	4586	4	15	8727	1	4	4882	1	3	6993	5	19	14592	1	2	7933	5	1	28263	5	7	7989	1	13	6348	5	12	2208	IN	55	210	163	6	1	7	1	7	1	6	1	7	1	1	1	1	1	1	0	0	0	0	1	0	0	0	1	1	1	3	3	1	2	31	1536	864	1	8	2	11	1	1	2	Electronics
3	16	5272	2	3	13058	2	2	9430	3	9	32737	5	7	7997	4	18	8006	5	14	7018	4	13	6525	3	1	7463	3	12	9370	4	6	7378	5	5	7824	4	8	25157	3	17	4012	4	4	5624	4	10	5128	4	15	16062	2	19	9875	2	11	6608	IN	14	195	296	6	6	7	2	5	3	3	2	5	4	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	1	4	2	2	2	20	1536	864	1	8	1	17	1	1	2	business development
2	3	4501	1	15	5063	1	2	9970	4	17	12782	4	5	6560	2	8	5967	5	9	6510	5	1	6201	4	12	7743	4	6	929	5	14	6157	2	7	5216	1	16	4434	4	18	3753	4	13	5830	4	19	6597	4	4	5319	4	10	5335	4	11	7612	US	10	576	4325	2	1	2	2	7	6	5	6	7	5	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	1	3	2	1	1	22	414	736	1	2	1	16	1	1	1	Biology
4	1	21998	2	15	18285	5	16	12079	3	12	894	4	18	7531	4	3	11119	2	11	16208	2	19	16152	2	4	8647	5	14	9751	4	17	13444	5	5	3486	4	10	13172	4	7	8566	4	2	11403	4	6	11449	5	13	7823	5	8	7979	5	9	13004	NONE	573	276	266	6	3	2	1	7	7	6	1	7	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	4	1	1	1	29	1920	1080	1	10	1	11	1	2	2	Electrical and Electronics Engineering
4	2	6998	1	1	24475	1	6	6305	5	15	7536	5	5	5464	1	18	6075	5	3	6189	1	4	13304	5	11	4800	5	14	4648	2	7	7563	1	17	7464	1	12	5391	2	13	5731	1	16	6328	5	9	8607	5	8	6083	2	19	12717	1	10	6169	PK	21	153	150	7	1	7	1	7	1	7	1	7	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	1	1	4	3	1	2	24	1024	768	1	10	5	11	1	1	4	Computer Engineering
4	13	3015	2	6	8465	4	11	3339	4	17	4966	4	2	5869	1	18	2358	5	7	9527	4	12	3288	4	19	4793	3	14	3117	4	10	245514	4	1	4490	4	9	3667	2	16	3160	5	15	2923	3	4	10024	3	5	3989	5	3	2298	4	8	6884	US	1	356	201	6	6	5	4	7	5	6	5	4	2	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	3	2	2	1	29	1920	1080	1	1	5	16	1	1	1	psychology
5	3	7112	4	4	12619	5	18	6450	4	14	13518	1	8	9352	2	7	4903	1	17	6737	2	11	7659	3	6	5340	3	15	6065	2	9	6748	5	16	8421	2	12	12173	2	19	5379	2	13	11747	4	2	12473	3	10	7610	1	1	10362	1	5	9322	EG	39	165	170	5	2	5	3	5	5	5	3	5	5	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	3	3	2	2	31	1536	960	1	10	1	12	2	1	2	Biomedical engineering
2	8	2795	1	14	11367	3	4	10672	4	11	9866	2	17	3583	2	7	4454	1	13	6624	4	16	4647	5	9	2544	2	2	9000	2	18	4287	3	10	4475	2	3	4838	3	12	3926	5	6	17695	4	15	4373	2	5	2774	4	19	3151	4	1	7312	NZ	18	119	121	2	1	7	5	7	6	7	3	6	7	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	4	1	2	1	33	1440	900	1	7	2	16	1	1	2	Psychology
